0,5.40158
0.001,5.41992
0.002,5.44499
0.003,5.418
0.004,5.42157
0.005,5.4106
0.006,5.41471
0.007,5.38633
0.008,5.39831
0.009,5.35686
0.01,5.3386
0.011,5.29182
0.012,5.20845
0.013,5.15162
0.014,5.08539
0.015,5.02393
0.016,4.92753
0.017,4.81799
0.018,4.73694
0.019,4.61513
0.02,4.47678
0.021,4.36523
0.022,4.23476
0.023,4.07892
0.024,3.93044
0.025,3.75879
0.026,3.59987
0.027,3.42354
0.028,3.25236
0.029,3.06271
0.03,2.88549
0.0301,2.8645
0.0302,2.8476
0.0303,2.82734
0.0304,2.8029
0.0305,2.78557
0.0306,2.76675
0.0307,2.74288
0.0308,2.724
0.0309,2.707
0.031,2.68589
0.0311,2.66314
0.0312,2.64702
0.0313,2.62893
0.0314,2.60996
0.0315,2.59056
0.0316,2.5674
0.0317,2.54754
0.0318,2.52389
0.0319,2.50341
0.032,2.48334
0.0321,2.46445
0.0322,2.44354
0.0323,2.42276
0.0324,2.40242
0.0325,2.38473
0.0326,2.36626
0.0327,2.34625
0.0328,2.32687
0.0329,2.3072
0.033,2.28531
0.0331,2.26501
0.0332,2.24539
0.0333,2.22418
0.0334,2.20355
0.0335,2.18235
0.0336,2.16394
0.0337,2.14529
0.0338,2.12338
0.0339,2.10271
0.034,2.08092
0.0341,2.05841
0.0342,2.03623
0.0343,2.0151
0.0344,1.99578
0.0345,1.97538
0.0346,1.95474
0.0347,1.9346
0.0348,1.91297
0.0349,1.89065
0.035,1.86947
0.0351,1.84849
0.0352,1.82638
0.0353,1.80567
0.0354,1.78591
0.0355,1.76461
0.0356,1.74292
0.0357,1.72035
0.0358,1.70033
0.0359,1.67909
0.036,1.65596
0.0361,1.63612
0.0362,1.61619
0.0363,1.59414
0.0364,1.57264
0.0365,1.55129
0.0366,1.5292
0.0367,1.5079
0.0368,1.48717
0.0369,1.46578
0.037,1.44389
0.0371,1.42278
0.0372,1.40033
0.0373,1.37821
0.0374,1.35804
0.0375,1.33577
0.0376,1.31354
0.0377,1.29366
0.0378,1.27166
0.0379,1.24952
0.038,1.22836
0.0381,1.20648
0.0382,1.18504
0.0383,1.16441
0.0384,1.14438
0.0385,1.12642
0.0386,1.11693
0.0387,1.10644
0.0388,1.08867
0.0389,1.07209
0.039,1.06082
0.0391,1.04964
0.0392,1.04049
0.0393,1.03475
0.0394,1.0282
0.0395,1.0208
0.0396,1.0153
0.0397,1.00937
0.0398,1.0069
0.0399,1.00351
0.04,1
0.041,0.996088
0.042,0.999876
0.043,1.00048
0.044,1.00467
0.045,1.00666
0.046,1.00801
0.047,1.00975
0.048,1.01145
0.049,1.0142
0.05,1.01695
0.051,1.01903
0.052,1.02107
0.053,1.02386
0.054,1.02584
0.055,1.02813
0.056,1.03004
0.057,1.0323
0.058,1.03383
0.059,1.03557
0.06,1.03707
0.061,1.03874
0.062,1.04081
0.063,1.04222
0.064,1.04343
0.065,1.04501
0.066,1.04653
0.067,1.04755
0.068,1.04895
0.069,1.05023
0.07,1.05161
0.071,1.05232
0.072,1.05308
0.073,1.05428
0.074,1.05491
0.075,1.05578
0.076,1.05707
0.077,1.05827
0.078,1.05884
0.079,1.05986
0.08,1.06064
0.081,1.06173
0.082,1.06354
0.083,1.0645
0.084,1.06538
0.085,1.06646
0.086,1.06719
0.087,1.06823
0.088,1.06898
0.089,1.06982
0.09,1.07073
0.091,1.07128
0.092,1.07186
0.093,1.07312
0.094,1.0735
0.095,1.07461
0.096,1.07523
0.097,1.07602
0.098,1.0767
0.099,1.07747
0.1,1.07809
0.101,1.07913
0.102,1.08023
0.103,1.08047
0.104,1.08077
0.105,1.08129
0.106,1.08157
0.107,1.08186
0.108,1.08246
0.109,1.08314
0.11,1.08415
0.111,1.08477
0.112,1.08564
0.113,1.08703
0.114,1.08774
0.115,1.08849
0.116,1.08924
0.117,1.08946
0.118,1.09016
0.119,1.09068
0.12,1.09095
0.121,1.09168
0.122,1.09276
0.123,1.0928
0.124,1.0936
0.125,1.09399
0.126,1.09448
0.127,1.09476
0.128,1.09568
0.129,1.09632
0.13,1.09685
0.131,1.0973
0.132,1.09763
0.133,1.09827
0.134,1.09893
0.135,1.09951
0.136,1.10008
0.137,1.09998
0.138,1.10066
0.139,1.10113
0.14,1.10155
0.141,1.10246
0.142,1.10306
0.143,1.10308
0.144,1.10345
0.145,1.10416
0.146,1.10447
0.147,1.10528
0.148,1.10565
0.149,1.10623
0.15,1.10692
0.151,1.10727
0.152,1.10738
0.153,1.10811
0.154,1.10861
0.155,1.10926
0.156,1.10955
0.157,1.11011
0.158,1.11034
0.159,1.11062
0.16,1.11095
0.161,1.11185
0.162,1.11234
0.163,1.11246
0.164,1.11282
0.165,1.11309
0.166,1.11358
0.167,1.11404
0.168,1.11463
0.169,1.11524
0.17,1.11564
0.171,1.11602
0.172,1.11604
0.173,1.11691
0.174,1.11729
0.175,1.11777
0.176,1.11815
0.177,1.11877
0.178,1.11904
0.179,1.1194
0.18,1.11964
0.181,1.12038
0.182,1.12127
0.183,1.12097
0.184,1.12174
0.185,1.1221
0.186,1.12225
0.187,1.123
0.188,1.12321
0.189,1.12368
0.19,1.12434
0.191,1.1246
0.192,1.1244
0.193,1.12505
0.194,1.12556
0.195,1.12588
0.196,1.12635
0.197,1.12669
0.198,1.12714
0.199,1.12729
0.2,1.12783
0.201,1.12826
0.202,1.1291
0.203,1.12899
0.204,1.12953
0.205,1.12968
0.206,1.13009
0.207,1.13069
0.208,1.13086
0.209,1.13119
0.21,1.13192
0.211,1.13194
0.212,1.13179
0.213,1.13261
0.214,1.13313
0.215,1.13335
0.216,1.13367
0.217,1.13382
0.218,1.13439
0.219,1.13462
0.22,1.13491
0.221,1.13562
0.222,1.13627
0.223,1.13619
0.224,1.13667
0.225,1.13695
0.226,1.13717
0.227,1.13784
0.228,1.13806
0.229,1.13865
0.23,1.13895
0.231,1.13923
0.232,1.1391
0.233,1.14015
0.234,1.14028
0.235,1.1407
0.236,1.14087
0.237,1.14131
0.238,1.14155
0.239,1.14166
0.24,1.1421
